ID,Party,Gender,Legislator,Num,Tenure
BF1,R,M,BillFlores,1,4
BF2,R,M,BlakeFarenthold,2,4
BG,R,M,BobGoodlatte,3,2
BL,R,M,BillyLong,4,4
CC,R,M,CurtClawson,5,1
CH,R,F,CresentHardy,6,0
CM,R,F,CandiceMiller,7,12
DE,D,F,DonnaEdwards,8,7
DJ,R,M,DavidJolly,9,1
EC,R,M,EarlCarter,10,0
EJ,D,F,EddieJohnson,11,22
JB,R,M,JoeBarton,12,11
JC1,R,M,JohnCarter,13,12
JC2,R,M,JohnCulberson,14,14
JK,R,M,JohnKatko,15,0
JR,R,M,JohnRatcliffe,16,0
KB,R,M,KevinBrady,17,0
KG,R,F,KayGranger,18,18
LB,R,M,LarryBucshon,19,4
LS,R,M,LamarSmith,20,28
MC,R,M,MikeCoffman,21,6
MM1,R,F,MarthaMcSally,22,0
MM2,R,M,MichaelMcCaul,23,2
PK,R,M,PeterKing,24,2
PO,R,M,PeteOlson,25,6
PS,R,M,PeteSessions,26,18
RB,R,M,RobBishop,27,12
RN,R,M,RandyNeugebauer,28,12
RW,R,M,RogerWilliams,29,2
SP1,R,M,ScottPerry,30,2
SP2,R,M,StevenPalazzo,31,4
TP,R,M,TedPoe,32,10
WH,R,M,WillHurd,33,0
MB,R,M,MoBrooks,34,4
PG,R,M,PaulGosar,35,2
